point_id,easting_m,northing_m,lon_wgs84,lat_wgs84,dsm_obs_m,chm_true_m,sensor_type
LIDAR_162,727590.0,4706650.0,-72.231157,42.478761,220.9400,18.4300,Lidar-DSM
LIDAR_163,727610.0,4706200.0,-72.231093,42.474708,232.5000,8.7100,Lidar-DSM
LIDAR_164,727250.0,4706790.0,-72.235234,42.480121,223.9700,29.5500,Lidar-DSM
LIDAR_165,727260.0,4706580.0,-72.235195,42.478229,228.9800,21.7200,Lidar-DSM
LIDAR_166,727720.0,4706480.0,-72.229645,42.477194,246.5600,21.3000,Lidar-DSM
LIDAR_167,727930.0,4706620.0,-72.227038,42.478392,247.0400,17.7300,Lidar-DSM
LIDAR_168,727540.0,4706150.0,-72.231963,42.474278,240.2500,23.5400,Lidar-DSM
LIDAR_169,727430.0,4706400.0,-72.233201,42.476560,240.0600,25.2200,Lidar-DSM
LIDAR_170,727090.0,4706550.0,-72.237273,42.478009,223.3100,22.9300,Lidar-DSM
LIDAR_171,727040.0,4706690.0,-72.237825,42.479283,220.8600,22.0900,Lidar-DSM
LIDAR_172,727550.0,4706280.0,-72.231790,42.475445,235.5100,24.4400,Lidar-DSM
LIDAR_173,727560.0,4706030.0,-72.231768,42.473193,240.9100,19.1600,Lidar-DSM
LIDAR_174,727110.0,4706480.0,-72.237058,42.477373,229.0800,25.0700,Lidar-DSM
LIDAR_175,727610.0,4706970.0,-72.230787,42.481634,200.4900,5.7300,Lidar-DSM
LIDAR_176,727020.0,4706850.0,-72.238005,42.480728,214.6100,20.9900,Lidar-DSM
LIDAR_177,727500.0,4706360.0,-72.232366,42.476179,232.9700,24.9100,Lidar-DSM
LIDAR_178,727910.0,4706030.0,-72.227515,42.473090,272.1900,27.6200,Lidar-DSM
LIDAR_179,727180.0,4706690.0,-72.236124,42.479242,220.8900,23.0500,Lidar-DSM
LIDAR_180,727710.0,4706780.0,-72.229648,42.479896,227.4500,22.4400,Lidar-DSM
LIDAR_181,727220.0,4706090.0,-72.235876,42.473833,253.3200,15.3500,Lidar-DSM
LIDAR_182,727980.0,4706730.0,-72.226386,42.479366,260.7300,19.5500,Lidar-DSM
LIDAR_183,727270.0,4706170.0,-72.235236,42.474538,258.7200,23.6900,Lidar-DSM
LIDAR_184,727940.0,4706060.0,-72.227139,42.473351,261.9000,24.1300,Lidar-DSM
LIDAR_185,727280.0,4706790.0,-72.234869,42.480112,225.9900,32.5700,Lidar-DSM
LIDAR_186,727030.0,4706060.0,-72.238196,42.473618,242.8900,18.3300,Lidar-DSM
LIDAR_187,727480.0,4706430.0,-72.232581,42.476815,223.2000,18.5400,Lidar-DSM
LIDAR_188,727100.0,4706350.0,-72.237231,42.476207,233.7700,22.5600,Lidar-DSM
LIDAR_189,727440.0,4706040.0,-72.233222,42.473318,236.2500,9.2200,Lidar-DSM
LIDAR_190,727500.0,4706760.0,-72.232207,42.479777,202.2000,9.3300,Lidar-DSM
LIDAR_191,727810.0,4706310.0,-72.228619,42.475638,255.8500,24.1300,Lidar-DSM
LIDAR_192,727670.0,4706720.0,-72.230157,42.479368,232.5100,26.7600,Lidar-DSM
LIDAR_193,727750.0,4706530.0,-72.229261,42.477635,244.7000,22.1000,Lidar-DSM
LIDAR_194,727020.0,4706340.0,-72.238207,42.476140,237.2800,22.6100,Lidar-DSM
LIDAR_195,727270.0,4706540.0,-72.235090,42.477866,238.6800,27.7100,Lidar-DSM
LIDAR_196,727510.0,4706160.0,-72.232324,42.474377,233.1900,17.0100,Lidar-DSM
LIDAR_197,727270.0,4706090.0,-72.235268,42.473818,257.8700,19.1900,Lidar-DSM
LIDAR_198,727550.0,4706340.0,-72.231766,42.475985,239.6400,30.3600,Lidar-DSM
LIDAR_199,727100.0,4706630.0,-72.237120,42.478725,215.6000,18.4100,Lidar-DSM
LIDAR_200,727400.0,4706400.0,-72.233565,42.476568,237.5900,20.2700,Lidar-DSM
